Minutes60UTC,PriceArea,OffshoreWindPower,OnshoreWindPower,SolarPower
2019-10-10T10:00:00.0,DK1,815.2857142857143,,
2019-10-10T11:00:00.0,DK1,818.6666666666666,1133.9166666666667,274.7275020833333
2019-10-10T12:00:00.0,DK1,850.5,1184.1666666666667,251.15083308333337
2019-10-10T13:00:00.0,DK1,934.75,1343.6666666666667,199.6299998333333
2019-10-10T14:00:00.0,DK1,962.0,1220.75,128.25000108333333
2019-10-10T15:00:00.0,DK1,942.3333333333334,1150.5833333333333,43.860833500000005
2019-10-10T16:00:00.0,DK1,941.25,1169.0833333333333,5.8808333333333325
2019-10-10T17:00:00.0,DK1,1001.25,1150.0833333333333,0.943333333333333
2019-10-10T18:00:00.0,DK1,1045.25,953.3333333333334,0.1375
2019-10-10T19:00:00.0,DK1,1078.8333333333333,1149.0,0.012500000000000002
2019-10-10T20:00:00.0,DK1,1090.6666666666667,1192.4166666666667,0.0016666666666666668
2019-10-10T21:00:00.0,DK1,1052.0833333333333,1093.75,0.0008333333333333334
2019-10-10T22:00:00.0,DK1,908.75,938.6666666666666,0.0
2019-10-10T23:00:00.0,DK1,927.8333333333334,972.6666666666666,0.0
2019-10-11T00:00:00.0,DK1,1041.25,940.25,0.0
2019-10-11T01:00:00.0,DK1,1028.0833333333333,1296.75,0.0
2019-10-11T02:00:00.0,DK1,1059.9166666666667,1436.4166666666667,0.0
2019-10-11T03:00:00.0,DK1,1124.4166666666667,1364.3333333333333,0.0
2019-10-11T04:00:00.0,DK1,879.5833333333334,1162.75,0.06833333333333334
2019-10-11T05:00:00.0,DK1,826.5833333333334,982.3333333333334,0.3966666666666667
2019-10-11T06:00:00.0,DK1,913.75,1073.25,17.629167
2019-10-11T07:00:00.0,DK1,1057.1666666666667,1335.3333333333333,58.36583316666667
2019-10-11T08:00:00.0,DK1,1096.0833333333333,1864.4166666666667,134.08999958333334
2019-10-11T09:00:00.0,DK1,1084.0833333333333,1844.5,124.28416583333335
2019-10-11T10:00:00.0,DK1,1034.5,1899.4166666666667,84.07250008333334
2019-10-11T11:00:00.0,DK1,999.9166666666666,1894.9166666666667,60.89583375
2019-10-11T12:00:00.0,DK1,835.75,1815.3333333333333,53.91833341666666
2019-10-11T13:00:00.0,DK1,688.25,1811.0833333333333,43.96166683333334
2019-10-11T14:00:00.0,DK1,663.75,1477.9166666666667,16.612500166666667
2019-10-11T15:00:00.0,DK1,804.6666666666666,1336.4166666666667,8.809166666666666
2019-10-11T16:00:00.0,DK1,581.75,1270.4166666666667,1.9374999999999998
2019-10-11T17:00:00.0,DK1,496.0833333333333,1077.6666666666667,0.40916666666666673
2019-10-11T18:00:00.0,DK1,591.25,1153.0833333333333,0.055833333333333346
2019-10-11T19:00:00.0,DK1,573.0833333333334,1180.5,0.004166666666666667
2019-10-11T20:00:00.0,DK1,920.0,1204.6666666666667,0.0
2019-10-11T21:00:00.0,DK1,935.0833333333334,1212.1666666666667,0.0
2019-10-11T22:00:00.0,DK1,1009.3333333333334,1085.4166666666667,0.0
2019-10-11T23:00:00.0,DK1,970.5,1005.4166666666666,0.0
2019-10-12T00:00:00.0,DK1,1033.0,1071.1666666666667,0.0
2019-10-12T01:00:00.0,DK1,1026.4166666666667,1136.25,0.0
2019-10-12T02:00:00.0,DK1,977.3333333333334,1233.1666666666667,0.0
2019-10-12T03:00:00.0,DK1,967.3333333333334,1330.5,0.0
2019-10-12T04:00:00.0,DK1,956.0833333333334,1442.75,0.06833333333333334
2019-10-12T05:00:00.0,DK1,929.9166666666666,1503.5833333333333,0.36916666666666664
2019-10-12T06:00:00.0,DK1,1042.5,1486.3333333333333,15.334999916666666
2019-10-12T07:00:00.0,DK1,1066.0,1617.5,64.83916641666667
2019-10-12T08:00:00.0,DK1,1004.3333333333334,1907.5833333333333,148.17833191666665
2019-10-12T09:00:00.0,DK1,1024.9166666666667,2371.0833333333335,225.01666658333332
2019-10-12T10:00:00.0,DK1,1093.1666666666667,2470.1666666666665,219.07333500000001
2019-10-12T11:00:00.0,DK1,1124.5,2457.8333333333335,260.4674986666667
2019-10-12T12:00:00.0,DK1,1119.0833333333333,2326.5,206.08166633333335
2019-10-12T13:00:00.0,DK1,1121.5833333333333,2462.4166666666665,149.010002
2019-10-12T14:00:00.0,DK1,1112.6666666666667,2254.0,101.19916716666665
2019-10-12T15:00:00.0,DK1,1090.9166666666667,1865.0,45.817499749999996
2019-10-12T16:00:00.0,DK1,1074.25,1535.4166666666667,5.300833333333334
2019-10-12T17:00:00.0,DK1,905.3333333333334,1490.6666666666667,0.8899999999999998
2019-10-12T18:00:00.0,DK1,941.75,1375.5,0.12000000000000001
2019-10-12T19:00:00.0,DK1,878.0,1230.3333333333333,0.0
2019-10-12T20:00:00.0,DK1,742.0833333333334,1151.75,0.0
2019-10-12T21:00:00.0,DK1,654.8333333333334,1033.8333333333333,0.0
2019-10-12T22:00:00.0,DK1,543.75,875.0833333333334,0.0
